epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
3200,0.837890625,0.7815209778800483,0.780536390124334,0.75,false,-0.0,0.09375,0.0|0.0625|0.0|-0.3125,-0.0805|0.0697|0.0336|-0.3092,1.0|1.0|1.0|-1.0,-0.0374|-0.1072|-0.1042|-0.0732|0.0637|0.0441|0.0582|0.1126|-0.0042|-0.0241|0.07|0.0927|-0.3113|-0.3057|-0.2972|-0.3227
3225,0.9150390625,0.8679906294398068,0.8672542572388022,0.5,false,-0.0625,0.046875,-0.125|-0.0625|0.125|0.0,-0.1194|-0.026|0.1281|-0.0615,-1.0|-1.0|1.0|1.0,-0.0617|-0.1308|-0.1595|-0.1257|-0.0008|0.0082|-0.0484|-0.0631|0.1336|0.1196|0.1485|0.1109|-0.0796|-0.0894|-0.0355|-0.0417
3250,0.7705078125,0.7637648276860075,0.7629643115334599,0.75,false,-0.125,0.140625,-0.125|0.1875|-0.125|-0.375,-0.1013|0.1939|-0.0831|-0.351,-1.0|1.0|-1.0|-1.0,-0.1195|-0.1407|-0.0944|-0.0505|0.2008|0.211|0.2165|0.1474|-0.0432|-0.1179|-0.0976|-0.0739|-0.3134|-0.3559|-0.3568|-0.3778
3275,0.826171875,0.8632172829310774,0.8607829060199954,1.0,true,0.0,0.09375,-0.125|0.0|0.0625|-0.1875,-0.0927|-0.056|0.0654|-0.2055,-1.0|1.0|1.0|-1.0,-0.1248|-0.1238|-0.0547|-0.0674|-0.0435|-0.0301|-0.0863|-0.0642|0.0079|-0.0474|0.1785|0.1227|-0.1966|-0.2315|-0.2018|-0.1919
3300,0.912109375,0.9145021454558354,0.9118823821020667,0.75,false,-0.25,0.0625,-0.125|-0.25|0.1875|-0.1875,-0.1147|-0.2896|0.1991|-0.2522,-1.0|-1.0|1.0|-1.0,-0.07|-0.1491|-0.1337|-0.106|-0.3528|-0.341|-0.2065|-0.2581|0.1302|0.1402|0.2631|0.2628|-0.2066|-0.2374|-0.242|-0.3229
3325,0.8603515625,0.8789035512992016,0.8780538850626004,0.75,false,-0.0,0.078125,0.0|0.0|0.25|-0.0625,-0.025|-0.0166|0.1942|-0.0626,1.0|1.0|1.0|-1.0,0.0294|0.0224|-0.0886|-0.063|-0.0005|-0.0091|-0.0069|-0.0498|0.209|0.1969|0.2035|0.1673|-0.0631|-0.0494|-0.0624|-0.0755
3350,0.7978515625,0.7796729892374173,0.7792431940383024,1.0,true,0.0,0.109375,-0.125|0.1875|0.0|-0.125,-0.1537|0.1889|-0.0181|-0.1595,-1.0|1.0|1.0|-1.0,-0.1268|-0.1412|-0.1751|-0.1719|0.1992|0.1625|0.2121|0.1819|-0.015|0.0007|-0.0328|-0.0252|-0.2017|-0.1365|-0.1685|-0.1312
3375,1.009765625,0.9860331400124742,0.9850919207824385,0.5,false,-0.125,0.0,-0.0625|-0.0625|0.125|0.125,-0.0616|-0.0733|0.1327|0.075,-1.0|-1.0|1.0|1.0,-0.062|-0.0605|-0.0621|-0.0618|-0.0329|-0.0556|-0.1013|-0.1034|0.0911|0.1075|0.1375|0.1948|0.1316|0.0787|0.0366|0.0531
3400,0.97265625,0.9998328890416255,0.9989221549871388,0.75,false,-0.25,0.03125,-0.125|0.25|0.0|0.25,-0.1167|0.2191|0.0504|0.3054,-1.0|1.0|1.0|1.0,-0.0933|-0.092|-0.1111|-0.1706|0.2377|0.2271|0.2387|0.1727|-0.0057|0.0462|0.0819|0.0793|0.2781|0.2975|0.3466|0.2993
3425,0.7529296875,0.7462246928720897,0.7453128746453885,0.75,false,-0.0,0.140625,-0.3125|0.1875|0.0625|0.0,-0.3093|0.1785|0.0691|-0.0188,-1.0|1.0|1.0|1.0,-0.3077|-0.3087|-0.3088|-0.312|0.1807|0.149|0.2161|0.1681|0.0227|0.0535|0.0568|0.1433|-0.0146|-0.0658|0.0248|-0.0197
