column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
7,initial,0.0,0.0,1,1,3,0,1
8,initial,0.0,0.0,1,1,3,0,1
1,initial,0.04917410686993809,0.0039503230801888195,1,1,3,1,1
2,initial,0.07484439812974646,-0.03215460820812177,1,1,3,1,1
3,initial,0.08809240192785191,-0.05230214589371569,1,1,3,1,1
4,initial,0.07599258431463435,-0.028738997589315085,1,1,3,1,1
5,initial,0.07100051198804187,0.0437031419407121,1,1,3,1,1
6,initial,0.09119612348185457,0.047574087169272326,1,1,3,1,1
7,initial,0.12248430452215463,-0.01668932171182852,1,1,3,1,1
8,initial,0.11504296496791944,0.007516115439017819,1,1,3,1,1
1,initial,0.0,0.0,1,1,3,0,2
2,initial,0.0,0.0,1,1,3,0,2
3,initial,0.0,0.0,1,1,3,0,2
4,initial,0.0,0.0,1,1,3,0,2
5,initial,0.0,0.0,1,1,3,0,2
6,initial,0.0,0.0,1,1,3,0,2
7,initial,0.0,0.0,1,1,3,0,2
8,initial,0.0,0.0,1,1,3,0,2
1,initial,0.06634008200310973,-0.027546210198291794,1,1,3,1,2
2,initial,0.08260542346934688,0.015270886409740867,1,1,3,1,2
3,initial,0.0648393218459962,-0.03716938864531467,1,1,3,1,2
4,initial,0.11226489717350642,0.0709115693878651,1,1,3,1,2
5,initial,0.08327832268377337,0.0520599962981724,1,1,3,1,2
6,initial,0.05389126959328336,-0.01571933955243479,1,1,3,1,2
7,initial,0.048374242810795255,0.01887083790972966,1,1,3,1,2
8,initial,0.08880724903800172,0.02358644080531053,1,1,3,1,2
1,initial,0.0,0.0,1,1,3,0,4
2,initial,0.0,0.0,1,1,3,0,4
3,initial,0.0,0.0,1,1,3,0,4
4,initial,0.0,0.0,1,1,3,0,4
5,initial,0.0,0.0,1,1,3,0,4
6,initial,0.0,0.0,1,1,3,0,4
7,initial,0.0,0.0,1,1,3,0,4
8,initial,0.0,0.0,1,1,3,0,4
1,initial,0.12678218130218555,0.029766522580266547,1,1,3,1,4
2,initial,0.07496035252358134,-0.06736913521825559,1,1,3,1,4
3,initial,0.08164521934924159,-0.024787352856225242,1,1,3,1,4
4,initial,0.07051379688454781,0.026396177766243138,1,1,3,1,4
5,initial,0.12692367248487724,-0.12053988442678638,1,1,3,1,4
6,initial,0.10642490572214955,0.007269906686925051,1,1,3,1,4
7,initial,0.06730465838492318,0.006267290021570872,1,1,3,1,4
8,initial,0.092176431024833,-0.04559988893051796,1,1,3,1,4
1,initial,0.0,0.0,1,1,4,0,1
2,initial,0.0,0.0,1,1,4,0,1
3,initial,0.0,0.0,1,1,4,0,1
4,initial,0.0,0.0,1,1,4,0,1
5,initial,0.0,0.0,1,1,4,0,1
6,initial,0.0,0.0,1,1,4,0,1
7,initial,0.0,0.0,1,1,4,0,1
8,initial,0.0,0.0,1,1,4,0,1
1,initial,0.09183302551396687,0.02940576468608576,1,1,4,1,1
2,initial,0.04724073051887315,0.012766224898773701,1,1,4,1,1
3,initial,0.08399006172941031,-0.036161728719772024,1,1,4,1,1
4,initial,0.08006746466309829,-0.0035302737973335104,1,1,4,1,1
5,initial,0.11141366943805603,0.035577206560090814,1,1,4,1,1
6,initial,0.08474802726100569,0.024118303909706925,1,1,4,1,1
7,initial,0.08261504254929156,-0.03284194992995286,1,1,4,1,1
8,initial,0.06673469171101712,0.02115573421273185,1,1,4,1,1
1,initial,0.0,0.0,1,1,4,0,2
2,initial,0.0,0.0,1,1,4,0,2
3,initial,0.0,0.0,1,1,4,0,2
4,initial,0.0,0.0,1,1,4,0,2
5,initial,0.0,0.0,1,1,4,0,2
6,initial,0.0,0.0,1,1,4,0,2
7,initial,0.0,0.0,1,1,4,0,2
8,initial,0.0,0.0,1,1,4,0,2
1,initial,0.11240903419158725,-0.048675852514350075,1,1,4,1,2
2,initial,0.12020397338445839,0.0345114437167535,1,1,4,1,2
3,initial,0.0751093139793657,0.025128242631351373,1,1,4,1,2
4,initial,0.0867826125335714,0.0434573295117883,1,1,4,1,2
5,initial,0.057836077111019,0.014205674517325644,1,1,4,1,2
6,initial,0.11798286877754861,0.03420680240451482,1,1,4,1,2
7,initial,0.0814646952463391,0.03936529770994514,1,1,4,1,2
8,initial,0.09403483666846052,0.026859569212364515,1,1,4,1,2
1,initial,0.0,0.0,1,1,4,0,3
2,initial,0.0,0.0,1,1,4,0,3
3,initial,0.0,0.0,1,1,4,0,3
4,initial,0.0,0.0,1,1,4,0,3
5,initial,0.0,0.0,1,1,4,0,3
6,initial,0.0,0.0,1,1,4,0,3
7,initial,0.0,0.0,1,1,4,0,3
8,initial,0.0,0.0,1,1,4,0,3
1,initial,0.07559015821513737,0.029274763847399195,1,1,4,1,3
2,initial,0.08351182162791312,0.06011941435161847,1,1,4,1,3
3,initial,0.12178252629405754,-0.03903543969268043,1,1,4,1,3
4,initial,0.0887928152426544,0.04293113298159905,1,1,4,1,3
5,initial,0.07518489631843162,-0.004365101504635177,1,1,4,1,3
6,initial,0.0618091477931141,0.008270267995688741,1,1,4,1,3
7,initial,0.11117733264002964,0.009339098259059757,1,1,4,1,3
8,initial,0.10647169815190283,0.008287691030955141,1,1,4,1,3
1,learned,0.0,0.0,1,1,1,0,2
2,learned,0.0,0.0,1,1,1,0,2
3,learned,0.0,0.0,1,1,1,0,2
4,learned,0.0,0.0,1,1,1,0,2
5,learned,0.0,0.0,1,1,1,0,2
6,learned,0.0,0.0,1,1,1,0,2
7,learned,0.0,0.0,1,1,1,0,2
8,learned,0.0,0.0,1,1,1,0,2
1,learned,0.08769088415186296,0.0266037050333263,1,1,1,1,2
2,learned,0.06435849540601159,-0.0072965549858692615,1,1,1,1,2
3,learned,0.07846544965168008,0.025036399775624232,1,1,1,1,2
4,learned,0.07663973614668143,0.004638672097132318,1,1,1,1,2
5,learned,0.10822793236698142,0.056732597905404844,1,1,1,1,2
6,learned,0.07086258697800271,0.023688510980536,1,1,1,1,2
7,learned,0.04862180678520912,-0.03302665378226145,1,1,1,1,2
8,learned,0.037674609910271356,-0.016218785178510324,1,1,1,1,2
1,learned,0.0,0.0,1,1,1,0,3
2,learned,0.0,0.0,1,1,1,0,3
3,learned,0.0,0.0,1,1,1,0,3
4,learned,0.0,0.0,1,1,1,0,3
5,learned,0.0,0.0,1,1,1,0,3
6,learned,0.0,0.0,1,1,1,0,3
7,learned,0.0,0.0,1,1,1,0,3
8,learned,0.0,0.0,1,1,1,0,3
1,learned,0.06706989306693024,-0.03902117322381654,1,1,1,1,3
2,learned,0.05997400438229519,-0.0030580723750846667,1,1,1,1,3
3,learned,0.07318036263218007,-0.028837886914657725,1,1,1,1,3
4,learned,0.09511918754989362,-0.008148851640760568,1,1,1,1,3
5,learned,0.0634669337016997,-0.026736855360875673,1,1,1,1,3
6,learned,0.12570233008794113,-0.008956909389882466,1,1,1,1,3
7,learned,0.09037485754898325,0.04808237246466725,1,1,1,1,3
8,learned,0.0957059651481529,-0.08532614012861472,1,1,1,1,3
1,learned,0.0,0.0,1,1,1,0,4
2,learned,0.0,0.0,1,1,1,0,4
3,learned,0.0,0.0,1,1,1,0,4
4,learned,0.0,0.0,1,1,1,0,4
5,learned,0.0,0.0,1,1,1,0,4
6,learned,0.0,0.0,1,1,1,0,4
7,learned,0.0,0.0,1,1,1,0,4
8,learned,0.0,0.0,1,1,1,0,4
