timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:08:51,1,512,51,2.7091307,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.423535,0.498046875,3.489709
2026-05-19T05:08:55,1,512,52,2.7827762,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.537109375,3.4231055,0.494140625,3.5114045
2026-05-19T05:08:59,1,512,53,2.7438304,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.537109375,3.490186,0.47265625,3.5257204
2026-05-19T05:09:02,1,512,54,2.770737,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.476007,0.48828125,3.4657779
2026-05-19T05:09:06,1,512,55,2.732506,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.509765625,3.5149057,0.513671875,3.3925474
2026-05-19T05:09:09,1,512,56,2.6626092,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.474609375,3.4054286,0.48828125,3.481828
2026-05-19T05:09:13,1,512,57,2.7175506,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.48828125,3.4756982,0.52734375,3.4348032
2026-05-19T05:09:17,1,512,58,2.8275801,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.486328125,3.4743721,0.4921875,3.524288
2026-05-19T05:09:20,1,512,59,2.8008216,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.484375,3.4970608,0.46484375,3.5266771
2026-05-19T05:09:24,1,512,60,3.0494675,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.54296875,3.4441688,0.4765625,3.512901
2026-05-19T05:09:28,1,512,61,2.7742195,1044,2.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.1,0.02,0.486328125,3.4583468,0.4921875,3.5318685
