column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
5,initial,0.15582092877521692,0.025320048669791033,1,2,1,4,2
6,initial,0.07919341741568725,0.03757509852873692,1,2,1,4,2
7,initial,0.11391566036107097,-0.011476672763467179,1,2,1,4,2
8,initial,0.22482274507056388,0.13441658650189175,1,2,1,4,2
1,initial,0.17992131010802076,-0.07660195211370598,1,2,1,5,2
2,initial,0.19909186266797155,0.02302692348229467,1,2,1,5,2
3,initial,0.21302888114505325,-0.12452735201047928,1,2,1,5,2
4,initial,0.2243487691056381,0.015101148566455634,1,2,1,5,2
5,initial,0.17959450395334206,0.01333142892815023,1,2,1,5,2
6,initial,0.09775292857680921,0.0287053464924486,1,2,1,5,2
7,initial,0.17270073795459162,0.005439460474002282,1,2,1,5,2
8,initial,0.23741536260087542,0.14489835170795856,1,2,1,5,2
1,initial,0.15638175419207673,-0.0439828736978731,1,2,1,6,2
2,initial,0.1584267489945424,0.04271459946887321,1,2,1,6,2
3,initial,0.27291855890959965,-0.16265295685056613,1,2,1,6,2
4,initial,0.22339092855242357,0.0005744096423140749,1,2,1,6,2
5,initial,0.21683972960110598,0.028784880121131402,1,2,1,6,2
6,initial,0.1687456538262802,-0.0131782798896636,1,2,1,6,2
7,initial,0.12769232454947566,0.07249228045369888,1,2,1,6,2
8,initial,0.2758092170163915,0.21813944614481,1,2,1,6,2
1,initial,0.1786557729087382,-0.03183555827994672,1,2,1,7,2
2,initial,0.17186219881734738,0.023384992486220366,1,2,1,7,2
3,initial,0.32344732780975055,-0.2104019384695558,1,2,1,7,2
4,initial,0.24900946656240266,0.03873188214538,1,2,1,7,2
5,initial,0.22647319782768438,0.04410164666129283,1,2,1,7,2
6,initial,0.1312981609344708,0.05198081789911481,1,2,1,7,2
7,initial,0.18072703103875257,0.04523640346779911,1,2,1,7,2
8,initial,0.29105877699299815,0.24802085790965397,1,2,1,7,2
1,initial,0.17335431293445813,0.005965746421315678,1,2,1,8,2
2,initial,0.1965260377346686,-0.022639431435616628,1,2,1,8,2
3,initial,0.2720443569994974,-0.14427465417458446,1,2,1,8,2
4,initial,0.2541934396211557,0.0028936032810351967,1,2,1,8,2
5,initial,0.24483118298407008,0.010588729445876521,1,2,1,8,2
6,initial,0.17936602885199285,0.03520954928632383,1,2,1,8,2
7,initial,0.21004779364530649,0.03544715642155431,1,2,1,8,2
8,initial,0.273540958008784,0.21777574446779055,1,2,1,8,2
1,initial,0.21594214289653707,-0.037139744268396446,1,2,1,9,2
2,initial,0.21224496823495753,0.017216851930534544,1,2,1,9,2
3,initial,0.2518239509279258,-0.1446884182616448,1,2,1,9,2
4,initial,0.18416771395786993,0.030087924552421104,1,2,1,9,2
5,initial,0.235631750685938,0.04287661571843132,1,2,1,9,2
6,initial,0.21566357294780528,0.08328346845560487,1,2,1,9,2
